Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Estimates Start After
Lebanon,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",4.074,3.894,2.656,3.66,4.327,3.614,2.817,3.298,3.314,2.718,2.838,4.452,5.546,7.535,9.11,11.119,12.997,15.745,17.289,17.405,17.248,17.595,19.091,19.749,20.957,21.286,21.797,24.577,28.833,35.14,38.01,40.076,44.1,47.598,49.874,50.8,51.991,53.915,2013
Lebanon,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",1597.854,1538.803,1053.458,1451.65,1716.057,1417.256,1088.521,1260.38,1252.563,1016.432,1050.1,1617.319,1965.326,2597.534,3062.406,3665.366,4232.268,5090.901,5552.029,5513.693,5330.985,5240.259,5430.421,5351.762,5438.372,5339.091,5342.637,5936.769,6887.697,8274.294,8755.85,9143.861,9966.391,10654.634,11057.875,11156.012,11308.913,11615.725,2012
Marshall Islands,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.106,0.109,0.108,0.111,0.115,0.125,0.127,0.131,0.138,0.144,0.151,0.153,0.153,0.165,0.173,0.185,0.191,0.183,0.179,0.183,0.188,2015
Marshall Islands,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2156.803,2172.783,2124.081,2166.432,2279.975,2513.217,2545.2,2603.362,2695.834,2796.122,2912.38,2913.712,2919.587,3113.184,3248.333,3468.354,3566.36,3406.602,3325.755,3338.238,3368.766,2015
Micronesia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.222,0.219,0.207,0.219,0.221,0.234,0.241,0.243,0.246,0.241,0.251,0.254,0.257,0.264,0.28,0.297,0.311,0.326,0.316,0.318,0.315,0.322,0.334,2015
Micronesia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2097.562,2064.76,1947.602,2058.476,2066.072,2184.159,2261.759,2281.655,2315.276,2272.777,2374.524,2417.864,2461.981,2535.687,2713.084,2888.182,3035.368,3193.969,3097.68,3114.653,3079.216,3150.036,3263.619,2015
Moldova,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.864,1.11,1.158,1.441,1.694,1.928,1.697,1.172,1.315,1.481,1.662,1.981,2.598,2.988,3.408,4.401,6.055,5.438,5.813,7.018,7.283,7.985,7.983,6.496,6.75,7.409,2015
Moldova,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,234.094,301.781,314.424,391.709,461.882,527.434,464.845,321.541,361.613,408.198,459.305,549.02,721.561,832.419,951.784,1231.879,1697.2,1525.865,1632.78,1971.523,2046.183,2244.45,2245.533,1828.371,1900.853,2089.086,2015
Nauru,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.031,0.031,0.028,0.02,0.039,0.044,0.049,0.073,0.104,0.109,0.117,0.1,0.102,0.114,2015
Nauru,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3122.457,3094.19,3113.76,2211.395,4185.191,4634.289,4936.669,7214.337,10005.006,10036.184,9872.939,8052.678,7823.642,8570.35,2015
Nepal,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",1.98,2.315,2.34,2.56,2.708,2.812,3.06,3.175,3.743,3.784,3.894,4.261,3.872,4.158,4.344,4.716,4.861,5.284,5.253,5.404,5.731,5.891,5.976,6.328,7.274,8.18,9.044,10.325,12.545,12.855,16.002,19.011,18.852,19.27,19.995,21.314,21.154,23.316,2016
Nepal,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",132.833,151.833,149.97,160.346,165.745,168.266,179.056,181.701,209.537,206.965,207.789,221.515,195.897,204.717,208.23,220.453,221.927,235.935,229.746,231.763,241.392,244.019,243.745,254.449,288.67,320.697,350.609,396.133,476.553,483.403,595.395,699.48,685.497,692.303,709.661,747.485,733.17,798.607,2015
Nigeria,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,62.165,60.131,52.275,56.807,80.128,132.23,172.686,187.866,209.677,57.477,67.824,73.128,93.983,102.935,130.345,169.645,222.791,262.215,330.26,297.458,369.062,414.095,460.952,514.965,568.496,493.841,405.952,400.621,2016
Nigeria,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,686.475,645.45,546.094,577.535,792.81,1273.271,1618.287,1713.375,1861.065,496.495,570.17,598.294,748.313,797.64,982.976,1245.073,1591.326,1822.793,2234.359,1958.577,2365.013,2582.57,2797.857,3042.045,3268.391,2763.196,2210.638,2123.22,2012
Norway,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",64.448,63.605,62.653,61.631,62.081,65.436,78.714,94.24,101.91,102.648,119.796,121.903,130.892,120.267,127.094,152.047,163.52,161.374,154.18,162.316,171.333,174.017,195.423,227.62,264.199,308.679,345.393,400.886,461.946,386.382,428.527,498.157,509.705,522.746,498.34,386.579,370.449,391.959,2016
Norway,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",15748.327,15486.751,15197.896,14907.06,14974.233,15732.935,18858.18,22447.277,24145.36,24248.735,28188.515,28521.828,30445.406,27808.672,29227.795,34793.767,37225.39,36565.445,34720.82,36285.346,38067.181,38504.481,42975.498,49775.554,57444.592,66643.385,73930.326,84904.366,96499.702,79786.852,87309.304,100171.698,101169.347,102573.674,96643.942,74264.426,70391.572,73450.396,2015
Panama,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",4.039,4.571,5.05,5.185,5.412,5.726,5.95,5.976,5.167,5.181,5.632,6.193,7.04,7.688,8.198,8.38,9.881,10.677,11.575,12.13,12.304,12.502,12.994,13.694,15.013,16.374,18.145,20.958,24.522,26.594,28.917,34.374,39.955,44.856,49.166,52.132,55.122,59.486,2015
